Year,Date,Hourly Demand Met (in MW)
2025,13-Jan 11pm,158135.36
2025,14-Jan 12am,150784.99
2025,14-Jan 1am,146117.37
2025,14-Jan 2am,141514.21
2025,14-Jan 3am,139859.19
2025,14-Jan 4am,141550.1
2025,14-Jan 5am,149338.4
2025,14-Jan 6am,164717.81
2025,14-Jan 7am,183565.11
2025,14-Jan 8am,197889.81
2025,14-Jan 9am,208914.27
2025,14-Jan 10am,213298.42
2025,14-Jan 11am,209743.65
2025,14-Jan 12pm,202200.71
2025,14-Jan 1pm,193474.35
2025,14-Jan 2pm,185476.98
2025,14-Jan 3pm,182865.63
2025,14-Jan 4pm,177593.39
2025,14-Jan 5pm,177350.59
2025,14-Jan 6pm,179811.02
2025,14-Jan 7pm,182589.88
2025,14-Jan 8pm,172153.84
2025,14-Jan 9pm,163753.55
2025,14-Jan 10pm,154018.66
2025,14-Jan 11pm,148626.88
2025,15-Jan 12am,141908.24
2025,15-Jan 1am,137923.62
2025,15-Jan 2am,134096.72
2025,15-Jan 3am,132693.51
2025,15-Jan 4am,133721.99
2025,15-Jan 5am,140389.22
2025,15-Jan 6am,155488.72
2025,15-Jan 7am,179083.6
2025,15-Jan 8am,196447.24
2025,15-Jan 9am,207453.51
2025,15-Jan 10am,215013.94
2025,15-Jan 11am,212907.93
2025,15-Jan 12pm,206673.71
2025,15-Jan 1pm,200103.97
2025,15-Jan 2pm,193701.56
2025,15-Jan 3pm,193072.02
2025,15-Jan 4pm,191493.29
2025,15-Jan 5pm,188125.94
2025,15-Jan 6pm,189300.15
2025,15-Jan 7pm,189957.93
2025,15-Jan 8pm,180878.14
2025,15-Jan 9pm,170257.63
2025,15-Jan 10pm,159881.94
2025,15-Jan 11pm,153073.79
2025,16-Jan 12am,146111.52
2025,16-Jan 1am,142564.99
2025,16-Jan 2am,138634.02
2025,16-Jan 3am,137226.45
2025,16-Jan 4am,137750.92
2025,16-Jan 5am,143971.07
2025,16-Jan 6am,159032.01
2025,16-Jan 7am,182116.26
2025,16-Jan 8am,200353.61
2025,16-Jan 9am,211326.21
2025,16-Jan 10am,218183.66
2025,16-Jan 11am,215279.69
2025,16-Jan 12pm,209526.16
2025,16-Jan 1pm,201816.45
2025,16-Jan 2pm,196415.42
2025,16-Jan 3pm,196816.36
2025,16-Jan 4pm,194877.9
2025,16-Jan 5pm,194635.1
2025,16-Jan 6pm,195746.34
2025,16-Jan 7pm,195617.73
2025,16-Jan 8pm,186592.84
2025,16-Jan 9pm,175919.32
2025,16-Jan 10pm,164382.96
2025,16-Jan 11pm,157924.44
2025,17-Jan 12am,150507.92
2025,17-Jan 1am,146897.82
2025,17-Jan 2am,143194.65
2025,17-Jan 3am,141223.62
2025,17-Jan 4am,141880.14
2025,17-Jan 5am,149325.31
2025,17-Jan 6am,165266.55
2025,17-Jan 7am,188309.59
2025,17-Jan 8am,204753.77
2025,17-Jan 9am,216296.51
2025,17-Jan 10am,223633.28
2025,17-Jan 11am,224452.31
2025,17-Jan 12pm,218409.36
2025,17-Jan 1pm,209815.84
2025,17-Jan 2pm,201232.62
2025,17-Jan 3pm,199675.93
2025,17-Jan 4pm,197766.78
2025,17-Jan 5pm,196984.82
2025,17-Jan 6pm,198934.21
2025,17-Jan 7pm,198704.81
2025,17-Jan 8pm,189297.74
2025,17-Jan 9pm,177408.01
2025,17-Jan 10pm,167255.42
2025,17-Jan 11pm,160503.57
2025,18-Jan 12am,152034.74
